iter	Logloss
0	0.6417428849
1	0.5985849096
2	0.5634289702
3	0.5353636992
4	0.5032005144
5	0.4751964639
6	0.4579153961
7	0.4390404235
8	0.4189688419
9	0.4037630248
10	0.3879974235
11	0.3760464959
12	0.3626759114
13	0.3498755849
14	0.3368797665
15	0.3290914862
16	0.3222808958
17	0.3154902982
18	0.3095401432
19	0.3037132633
20	0.2964549767
21	0.2898327776
22	0.2855420102
23	0.2840730444
24	0.2811199782
25	0.2784129885
26	0.2745815361
27	0.2718355098
28	0.269064364
29	0.2659879327
30	0.2628759728
31	0.2597127834
32	0.2577264387
33	0.2556532395
34	0.2537497049
35	0.2514638927
36	0.2487849751
37	0.247369385
38	0.2452465835
39	0.24328471
40	0.2414635475
41	0.2401740361
42	0.2392489557
43	0.2382733593
44	0.2358924549
45	0.2348918826
46	0.2335338731
47	0.2333920478
48	0.2331423277
49	0.2317848075
50	0.230775307
51	0.2297976803
52	0.2289494823
53	0.2288257759
54	0.2270834914
55	0.2262496244
56	0.2244648302
57	0.222856965
58	0.2218678546
59	0.2209790605
60	0.2200434122
61	0.2186434528
62	0.2176183032
63	0.2170994541
64	0.2163612034
65	0.2153647767
66	0.2137989949
67	0.2133000222
68	0.212224339
69	0.2110955101
70	0.2103395622
71	0.2093890591
72	0.2083111644
73	0.2073709273
74	0.206861172
75	0.2061738133
76	0.2054149412
77	0.2048356161
78	0.2036997644
79	0.2030397599
80	0.2016497843
81	0.2014579056
82	0.2005353014
83	0.1995638493
84	0.1990666378
85	0.1982698973
86	0.1981205761
87	0.1979873974
88	0.1972896809
89	0.1962411042
90	0.1949044431
91	0.1941041764
92	0.1931729991
93	0.1922389005
94	0.1919952543
95	0.191861843
96	0.1912165857
97	0.1908574878
98	0.1904644265
99	0.1903009314
100	0.1894715474
101	0.1886336903
102	0.1886305207
103	0.1879722758
104	0.1872980443
105	0.1871336063
106	0.186345628
107	0.1859215846
108	0.1853286373
109	0.1841329442
110	0.1838165457
111	0.1833776078
112	0.1828248073
113	0.1821107733
114	0.1815283962
115	0.180887431
116	0.1797082435
117	0.1794902987
118	0.1787427625
119	0.1775644081
120	0.1773058223
121	0.1773021731
122	0.1767139393
123	0.17648717
124	0.1763167953
125	0.1753839532
126	0.1748491347
127	0.1743966796
128	0.1736746397
129	0.1734274806
130	0.173196343
131	0.1728023988
132	0.1720985261
133	0.1715372135
134	0.1707276102
135	0.1695908541
136	0.1690808626
137	0.1683267264
138	0.1681501457
139	0.1679524379
140	0.1679491528
141	0.1678499771
142	0.1670354798
143	0.1661131989
144	0.1656385402
145	0.1649564265
146	0.1643468804
147	0.1633393075
148	0.1622923059
149	0.1618206541
150	0.161334023
151	0.1607113089
152	0.1607081375
153	0.1603470286
