iter	Passed	Remaining
0	59	29537
1	62	15492
2	65	10808
3	68	8451
4	70	6995
5	73	6047
6	75	5333
7	78	4836
8	81	4445
9	84	4121
10	86	3863
11	90	3660
12	94	3527
13	96	3360
14	99	3204
15	102	3099
16	104	2977
17	107	2876
18	110	2787
19	113	2716
20	115	2638
21	118	2564
22	120	2495
23	122	2420
24	124	2368
25	127	2315
26	129	2263
27	131	2219
28	134	2178
29	136	2136
30	138	2101
31	140	2061
32	143	2025
33	145	1996
34	147	1962
35	150	1938
36	152	1910
37	154	1882
38	157	1857
39	159	1839
40	162	1814
41	164	1794
42	166	1772
43	169	1759
44	172	1739
45	174	1721
46	176	1704
47	178	1676
48	179	1653
49	181	1635
50	183	1619
51	187	1613
52	190	1605
53	191	1584
54	195	1579
55	197	1566
56	199	1554
57	202	1541
58	204	1527
59	206	1514
60	209	1507
61	212	1502
62	215	1494
63	217	1482
64	220	1474
65	222	1461
66	225	1455
67	227	1445
68	229	1433
69	232	1427
70	234	1418
71	237	1412
72	240	1404
73	242	1397
74	245	1392
75	248	1383
76	250	1376
77	253	1372
78	256	1364
79	258	1357
80	261	1350
81	263	1343
82	265	1334
83	267	1326
84	269	1317
85	272	1309
86	273	1299
87	275	1290
88	278	1284
89	280	1277
90	282	1268
91	284	1262
92	287	1257
93	289	1249
94	292	1245
95	294	1239
96	296	1232
97	299	1227
98	301	1219
99	303	1212
100	305	1207
101	308	1204
102	310	1195
103	312	1188
104	314	1184
105	316	1177
106	319	1174
107	322	1170
108	325	1165
109	327	1160
110	329	1154
111	332	1152
112	335	1147
113	338	1144
114	340	1139
115	342	1134
116	345	1130
117	347	1123
118	350	1120
119	352	1116
120	354	1110
121	355	1102
122	358	1098
123	360	1093
124	362	1088
125	365	1085
126	367	1079
127	369	1074
128	371	1069
129	374	1065
130	376	1061
131	378	1056
132	381	1051
133	383	1048
134	386	1043
135	388	1038
136	390	1035
137	392	1030
138	394	1025
139	396	1020
140	398	1013
141	400	1008
142	401	1003
143	403	997
144	405	993
145	408	991
146	410	985
147	413	982
148	415	978
149	418	975
150	420	970
151	422	967
152	423	961
153	425	956
154	427	952
155	429	948
156	431	943
157	434	939
158	436	936
159	439	932
160	441	930
161	444	927
162	446	922
163	447	917
164	450	913
165	452	909
166	454	907
167	457	904
168	459	899
169	461	895
170	463	892
171	465	888
172	467	884
173	469	879
174	472	876
175	473	872
176	475	867
177	477	863
178	479	859
179	481	855
180	483	852
181	485	848
182	487	844
183	490	842
184	492	838
185	494	834
186	496	831
187	499	828
188	501	824
189	503	821
190	507	820
191	509	817
192	511	812
193	513	809
194	515	806
195	517	802
196	520	800
197	523	798
198	525	795
199	527	791
200	529	788
201	532	785
202	534	781
203	536	778
204	538	775
